gu,dong,name,pyung,years,price,household,hospital,elementary,middle,high,department,bigmart,market,park,edu,subway,sub_dist
강남구,개포동,개포2차현대아파트,24,37,177700,0,2,7,3,4,0,0,0,0,106,31,804.28
강남구,개포동,개포6차우성아파트,17,38,194000,0,2,7,3,4,0,0,0,0,106,31,1187.36
강남구,개포동,개포6차우성아파트,20,38,203250,0,2,7,3,4,0,0,0,0,106,31,1187.36
강남구,개포동,개포6차우성아파트,24,38,215142.8571,0,2,7,3,4,0,0,0,0,106,31,1187.36
강남구,개포동,개포더샵트리에,33,4,245667,0,2,7,3,4,0,0,0,0,106,31,264.47
강남구,개포동,개포래미안포레스트,15,5,173785.7143,1,2,7,3,4,0,0,0,0,106,31,1019.37
강남구,개포동,개포래미안포레스트,18,5,209975.4181,1,2,7,3,4,0,0,0,0,106,31,1019.37
강남구,개포동,개포래미안포레스트,23,5,234886.3636,1,2,7,3,4,0,0,0,0,106,31,1019.37
강남구,개포동,개포래미안포레스트,26,5,258525.7813,1,2,7,3,4,0,0,0,0,106,31,1019.37
강남구,개포동,개포래미안포레스트,29,5,313229.1667,1,2,7,3,4,0,0,0,0,106,31,1019.37
강남구,개포동,개포래미안포레스트,31,5,329833.3333,1,2,7,3,4,0,0,0,0,106,31,1019.37
강남구,개포동,개포래미안포레스트,34,5,332000,1,2,7,3,4,0,0,0,0,106,31,1019.37
강남구,개포동,개포래미안포레스트,41,5,403000,1,2,7,3,4,0,0,0,0,106,31,1019.37
강남구,개포동,개포우성3차,32,41,251470,0,2,7,3,4,0,0,0,0,106,31,405.6
강남구,개포동,개포우성3차,40,41,306333.3333,0,2,7,3,4,0,0,0,0,106,31,405.6
강남구,개포동,개포우성3차,49,41,343700,0,2,7,3,4,0,0,0,0,106,31,405.6
강남구,개포동,개포자이,41,21,246375,0,2,7,3,4,0,0,0,0,106,31,401.95
강남구,개포동,개포자이르네,18,3,134000,0,2,7,3,4,0,0,0,0,106,31,974.74
강남구,개포동,개포자이르네,31,3,230000,0,2,7,3,4,0,0,0,0,106,31,974.74
강남구,개포동,개포자이르네,35,3,232000,0,2,7,3,4,0,0,0,0,106,31,974.74
강남구,개포동,개포자이프레지던스,15,2,218000,2,2,7,3,4,0,0,0,0,106,31,641.5
강남구,개포동,개포자이프레지던스,18,2,258512.5,2,2,7,3,4,0,0,0,0,106,31,641.5
강남구,개포동,개포자이프레지던스,24,2,309625,2,2,7,3,4,0,0,0,0,106,31,641.5
강남구,개포동,개포자이프레지던스,26,2,300222.2222,2,2,7,3,4,0,0,0,0,106,31,641.5
강남구,개포동,개포자이프레지던스,33,2,460000,2,2,7,3,4,0,0,0,0,106,31,641.5
강남구,개포동,개포주공4단지,13,43,370000,1,2,7,3,4,0,0,0,0,106,31,641.5
강남구,개포동,개포주공5단지,16,42,223232.1429,0,2,7,3,4,0,0,0,0,106,31,263.57
강남구,개포동,개포주공5단지,19,42,256125,0,2,7,3,4,0,0,0,0,106,31,263.57
강남구,개포동,개포주공5단지,22,42,279565.2174,0,2,7,3,4,0,0,0,0,106,31,263.57
강남구,개포동,개포주공5단지,25,42,295647.0588,0,2,7,3,4,0,0,0,0,106,31,263.57
강남구,개포동,개포주공6단지,16,42,212222.2222,1,2,7,3,4,0,0,0,0,106,31,343.54
강남구,개포동,개포주공6단지,18,42,213400,1,2,7,3,4,0,0,0,0,106,31,343.54
강남구,개포동,개포주공6단지,22,42,240966.6667,1,2,7,3,4,0,0,0,0,106,31,343.54
강남구,개포동,개포주공6단지,25,42,264653.8462,1,2,7,3,4,0,0,0,0,106,31,343.54
강남구,개포동,개포주공7단지,16,42,207555.5556,0,2,7,3,4,0,0,0,0,106,31,207.61
강남구,개포동,개포주공7단지,18,42,231807.6923,0,2,7,3,4,0,0,0,0,106,31,207.61
강남구,개포동,개포주공7단지,22,42,258500,0,2,7,3,4,0,0,0,0,106,31,207.61
강남구,개포동,개포주공7단지,25,42,266678.5714,0,2,7,3,4,0,0,0,0,106,31,207.61
강남구,개포동,개포현대200동,25,39,207000,0,2,7,3,4,0,0,0,0,106,31,781.77
강남구,개포동,경남1,26,41,247700,0,2,7,3,4,0,0,0,0,106,31,487.44
강남구,개포동,경남1,29,41,242125,0,2,7,3,4,0,0,0,0,106,31,487.44
강남구,개포동,경남1,37,41,297142.8571,0,2,7,3,4,0,0,0,0,106,31,487.44
강남구,개포동,경남1,50,41,290000,0,2,7,3,4,0,0,0,0,106,31,487.44
강남구,개포동,경남2차,28,41,233500,0,2,7,3,4,0,0,0,0,106,31,487.44
강남구,개포동,경남2차,45,41,289000,0,2,7,3,4,0,0,0,0,106,31,487.44
강남구,개포동,경남2차,55,41,345500,0,2,7,3,4,0,0,0,0,106,31,487.44
강남구,개포동,뉴현대파크빌,21,24,74000,0,2,7,3,4,0,0,0,0,106,31,1381.9
강남구,개포동,대치푸르지오발라드,11,1,91763,0,2,7,3,4,0,0,0,0,106,31,168.05
강남구,개포동,대치푸르지오발라드,12,1,103999.2,0,2,7,3,4,0,0,0,0,106,31,168.05
강남구,개포동,대치푸르지오발라드,13,1,105749.52,0,2,7,3,4,0,0,0,0,106,31,168.05
강남구,개포동,대치푸르지오발라드,16,1,138945,0,2,7,3,4,0,0,0,0,106,31,168.05
강남구,개포동,대치푸르지오발라드,17,1,139663.5,0,2,7,3,4,0,0,0,0,106,31,168.05
강남구,개포동,대치푸르지오발라드,18,1,167198.4,0,2,7,3,4,0,0,0,0,106,31,168.05
강남구,개포동,디에이치 아너힐즈,26,2,242000,0,2,7,3,4,0,0,0,0,106,31,567.39
강남구,개포동,디에이치 퍼스티어 아이파크,11,2,108522,2,2,7,3,4,0,0,0,0,106,31,592.53
강남구,개포동,디에이치 퍼스티어 아이파크,15,2,101473,2,2,7,3,4,0,0,0,0,106,31,592.53
강남구,개포동,디에이치 퍼스티어 아이파크,18,2,253177,2,2,7,3,4,0,0,0,0,106,31,592.53
강남구,개포동,디에이치 퍼스티어 아이파크,26,2,295995,2,2,7,3,4,0,0,0,0,106,31,592.53
강남구,개포동,디에이치 퍼스티어 아이파크,29,2,350682,2,2,7,3,4,0,0,0,0,106,31,592.53
강남구,개포동,디에이치 퍼스티어 아이파크,34,2,418187,2,2,7,3,4,0,0,0,0,106,31,592.53
강남구,개포동,디에이치 퍼스티어 아이파크,40,2,506139,2,2,7,3,4,0,0,0,0,106,31,592.53
